Temp;Burza;Wiatr;Zach;Desz;hsłonecznych;Uv
24;	1;	9;	60;	11,1;	10;	12
24;	1;	11;	70;	24,2;	4;	11
22;	1;	9;	58;	1,3;	7;	12
24;	0;	9;	94;	2,4;	7;	12
23;	0;	9;	92;	10,4;	6;	11
23;	0;	7;	81;	10,5;	4;	9
26;	0;	13;	97;	12,7;	2;	5
26;	0;	13;	97;	27,5;	1;	4
24;	1;	7;	100;54,7;	1;	3
26;	1;	7;	100;157,5;	1;	3
24;	0;	6;	99;	8,8;	2;	3
24;	0;	7;	97;	7,7;	2;	5
25;	0;	9;	98;	10,4;	1;	4
24;	1;	2;	99;	18,3;	1;	3
24;	1;	4;	95;	32,2;	1;	3
24;	1;	6;	98;	10,3;	1;	3
24;	0;	2;	90;	10,3;	2;	3
23;	0;	2;	97;	1,8;	2;	4
24;	0;	2;	63;	5;		6;	6
24;	0;	2;	90;	8,6;	2;	3
24;	0;	4;	97;	6,6;	1;	3
24;	1;	4;	99;	22,4;	1;	3
24;	0;	6;	93;	14,5;	2;	3
24;	1;	4;	95;	14,7;	2;	3
23;	0;	6;	87;	2,8;	3;	3
24;	0;	4;	61;	5;		7;	7
24;	0;	4;	98;	12,8;	2;	3
24;	0;	4;	97;	18,5;	2;	3
24;	1;	6;	85;	12,3;	6;	12
24;	1;	6;	93;	8,9;	2;	3
24;	1;	6;	81;	7,6;	5;	12
24;	1;	7;	72;	8,1;	6;	12
24;	0;	6;	85;	7,9;	3;	4
24;	0;	4;	83;	9,4;	3;	4
24;	0;	4;	70;	10,5;	5;	10
23;	0;	7;	76;	4,2;	4;	5
24;	0;	7;	66;	8,5;	9;	11
24;	1;	6;	82;	14;		6;	12
24;	0;	6;	91;	9,9;	4;	11
24;	1;	4;	90;	16,2;	4;	12
24;	1;	4;	95;	25,1;	2;	3
24;	1;	4;	90;	16;		4;	11
24;	1;	6;	92;	21,5;	4;	11
24;	1;	6;	89;	17,2;	4;	12
24;	1;	7;	87;	13;		4;	8
15;	0;	13;	89;	6,3;	2;	3
13;	1;	11;	88;	9;		3;	2
14;	1;	11;	86;	6,3;	5;	5
17;	0;	9;	99;	2,3;	5;	6
14;	1;	11;	98;	30,5;	5;	5
14;	0;	11;	92;	34,6;	2;	2
13;	0;	11;	90;	2,7;	3;	2
19;	0;	9;	99;	27,2;	1;	2
19;	0;	9;	73;	7,4;	6;	6
19;	0;	11;	56;	0;		11;	8
23;	0;	11;	90;	2,1;	3;	2
23;	1;	6;	56;	5,4;	9;	9
24;	0;	6;	62;	0,7;	7;	8
24;	1;	9;	81;	10,9;	5;	7
25;	0;	0;	82;	5;		4;	3
